camid,age,gender,pid
cam1007,36.67,F,10
cam1007,36,F,11
cam1007,44.33,M,13
cam1007,48,M,12
cam1007,47.33,M,0
cam1007,52,M,69
cam1007,45,M,71
cam1007,38.67,F,71
cam1007,37.33,F,74
cam1007,36.33,F,73
cam1007,45.33,M,77
cam1007,42.67,M,78
cam1007,49.33,M,80
cam1007,50,M,79
cam1007,40.33,M,81
cam1007,53,M,82
cam1007,40.33,M,81
cam1007,43,F,83
cam1007,58.33,M,84
cam1007,46.33,M,85
cam1007,47.33,F,14
cam1007,42,F,86
cam1007,42.33,F,88
cam1007,42.67,F,16
cam1007,54.33,M,17
cam1007,41.33,M,93
cam1007,46.67,M,95
cam1007,37.67,F,3
cam1007,64.67,M,1
cam1007,38.67,F,18
cam1007,45,M,99
cam1007,46.67,M,100
cam1007,48.67,M,102
cam1007,44.67,F,104
cam1007,38.67,F,103
cam1007,49.67,M,101
cam1007,53.33,F,103
cam1007,47,M,103
cam1007,54,M,107
cam1007,42,M,101
cam1007,60,M,106
cam1007,53.33,M,110
cam1007,57.67,M,109
cam1007,51,M,111
cam1007,49.67,M,112
cam1007,48,M,113
cam1007,49.33,M,113
cam1007,40,F,110
cam1007,38.33,F,116
cam1007,40.67,F,118
cam1007,53,M,115
cam1007,41.67,F,120
cam1007,50.33,F,121
cam1007,48.67,F,122
cam1007,48.67,M,124
cam1007,45.33,M,127
cam1007,38.33,F,20
cam1007,36.33,F,128
cam1007,39.67,F,130
cam1007,41.33,F,119
cam1007,36,F,131
cam1007,44.67,F,133
cam1007,42,M,131
cam1007,34.33,M,132
cam1007,52.67,M,21
cam1007,59,M,136
cam1007,29,F,137
cam1007,44,F,139
cam1007,52.67,F,138
cam1007,39.33,M,23
cam1007,37.67,F,142
cam1007,37,F,26
cam1007,44,M,25
cam1007,39.67,F,27
cam1007,40,M,28
cam1007,55.67,F,31
cam1007,50,M,4
cam1007,47,F,6
cam1007,47.67,F,35
cam1007,49.67,F,37
cam1007,40.33,F,39
cam1007,54.33,M,40
cam1007,39,F,42
cam1007,55,M,43
cam1007,40.67,F,44
cam1007,55.33,M,44
cam1007,52.67,M,46
cam1007,49,M,45
cam1007,39.67,F,49
cam1007,54,F,50
cam1007,35,F,48
cam1007,46.67,F,51
cam1007,66.67,M,55
cam1007,45.33,M,54
cam1007,51.33,M,7
cam1007,47.33,M,56
cam1007,40.67,F,57
cam1007,47.67,M,59
cam1007,42,F,58
cam1007,47.67,F,61
cam1007,41.33,F,62
cam1007,41,F,60
cam1007,56.67,F,65
