camid,age,gender,pid
cam1001,18,M,1
cam1001,22,F,2
cam1001,20,M,3
cam1001,38,F,4
cam1001,30,M,5
cam1001,49,F,6
cam1001,40,M,7
cam1001,58,F,8
cam1001,51,M,9
cam1001,65,F,10
cam1001,65,M,11
cam1001,18,M,21
cam1001,22,F,22
cam1001,20,M,23
cam1001,38,F,24
cam1001,30,M,25
cam1001,49,F,26
cam1001,40,M,27
cam1001,58,F,28
cam1001,51,M,29
cam1001,65,F,30
cam1001,65,M,31
cam1001,18,M,33
cam1001,22,F,34
cam1001,20,M,35
cam1001,22,F,36
cam1001,30,M,37
cam1001,49,F,38
cam1001,40,M,39
cam1001,58,F,40
cam1001,51,M,41
cam1001,65,F,42
cam1001,65,M,43
cam1001,65,M,120
cam1001,18,M,121
cam1001,22,F,123
cam1001,38,F,124
cam1001,30,M,125
cam1001,49,F,126
cam1001,65,M,127
cam1001,58,F,128
cam1001,51,M,129
cam1001,65,F,130
cam1001,20,M,131
cam1001,18,M,225
cam1001,65,F,234
cam1001,65,M,237
cam1001,20,M,226
cam1001,51,M,233
cam1001,30,M,231
cam1001,22,F,232
cam1001,40,M,235
cam1001,49,F,236
cam1001,58,F,238
cam1001,20,M,274
cam1001,65,M,275
cam1001,51,M,276
cam1001,40,M,280
cam1001,49,F,282
cam1001,30,M,281
cam1001,58,F,282
cam1001,18,M,283
cam1001,22,F,285
cam1001,49,F,284
cam1001,49,F,286
cam1001,65,M,287
cam1001,40,M,283
cam1001,38,F,288
cam1001,51,M,289
cam1001,20,M,291
cam1001,49,F,290
cam1001,18,M,292
cam1001,30,M,293
cam1001,65,F,294
cam1001,22,F,295
cam1001,65,M,297
cam1001,38,F,298
cam1001,18,M,300
cam1001,40,M,299
cam1001,30,M,301
cam1001,48,F,302
cam1001,65,F,303
cam1001,20,M,304
cam1001,51,M,305
cam1001,22,F,306
cam1001,40,M,307
cam1001,18,M,308
cam1001,58,F,310
cam1001,38,F,318
cam1001,30,M,313
cam1001,51,M,312
cam1001,22,F,317
cam1001,20,M,315
cam1001,49,F,314
cam1001,40,M,338
cam1001,49,F,341
cam1001,38,F,339
cam1001,20,M,342
cam1001,30,M,340
cam1001,65,F,343
cam1001,58,F,344
cam1001,65,M,345
cam1001,22,F,346
cam1001,18,M,347
cam1001,51,M,348
cam1001,18,M,349
cam1001,51,M,350
cam1001,58,F,351
cam1001,38,F,352
cam1001,22,F,353
cam1001,65,M,354
cam1001,65,F,355
cam1001,30,M,357
cam1001,49,F,358
cam1001,40,M,359
cam1001,20,M,360
