camid,age,gender,pid
cam1005,55.33,F,54
cam1005,49.33,F,55
cam1005,37,F,56
cam1005,32.67,F,57
cam1005,37.67,M,58
cam1005,43.67,M,60
cam1005,36,F,62
cam1005,43.33,F,63
cam1005,48,M,60
cam1005,45,M,64
cam1005,48.33,M,65
cam1005,45,M,66
cam1005,37,F,70
cam1005,42,F,68
cam1005,47.33,M,71
cam1005,58.33,M,72
cam1005,55,M,75
cam1005,35.33,F,73
cam1005,50.67,F,76
cam1005,60,M,68
cam1005,36,F,77
cam1005,42,F,2
cam1005,45,M,78
cam1005,43,M,79
cam1005,57.67,M,81
cam1005,42.67,M,80
cam1005,46.67,F,82
cam1005,41.33,M,83
cam1005,25.67,M,85
cam1005,49.33,M,86
cam1005,42,F,87
cam1005,45.33,F,89
cam1005,52.33,F,88
cam1005,45,M,91
cam1005,63,M,92
cam1005,60.33,M,93
cam1005,39.33,F,94
cam1005,46.33,M,95
cam1005,62.67,M,96
cam1005,34.33,F,97
cam1005,32.33,M,98
cam1005,44,F,100
cam1005,35.67,M,103
cam1005,49.33,M,105
cam1005,26.33,M,98
cam1005,44,M,106
cam1005,50.67,M,107
cam1005,48,F,108
cam1005,46,M,6
cam1005,48.33,M,7
cam1005,51.67,M,8
cam1005,53,M,108
cam1005,42,F,109
cam1005,49.33,F,111
cam1005,58.33,M,113
cam1005,55.67,M,114
cam1005,37,F,10
cam1005,35.33,F,9
cam1005,34.67,F,118
cam1005,29.67,M,119
cam1005,46.67,M,120
cam1005,44.33,M,122
cam1005,45,F,121
cam1005,52.67,M,124
cam1005,68.33,M,128
cam1005,34.67,M,126
cam1005,54.33,M,120
cam1005,46.67,M,127
cam1005,32.67,M,131
cam1005,54.67,F,130
cam1005,35.33,M,131
cam1005,36,M,131
cam1005,56.67,M,132
cam1005,45.33,F,134
cam1005,50.67,F,135
cam1005,65.33,M,136
cam1005,32.67,M,137
cam1005,42.67,M,138
cam1005,34,M,139
cam1005,31.67,M,137
cam1005,34,M,141
cam1005,30,M,142
cam1005,3.33,F,144
cam1005,59,F,145
cam1005,33.33,M,142
cam1005,56.67,M,12
cam1005,3.33,F,13
cam1005,45,M,15
cam1005,3.33,F,13
cam1005,33.33,F,14
cam1005,36,M,17
cam1005,36.33,F,18
cam1005,38.33,F,20
cam1005,41.67,M,12
cam1005,50.33,M,16
cam1005,61.33,F,23
cam1005,35,F,24
cam1005,42.33,M,25
cam1005,36.33,M,26
cam1005,23.67,F,29
cam1005,55.33,F,28
cam1005,56,F,31
cam1005,51.67,F,28
cam1005,42.33,F,31
cam1005,34,F,36
cam1005,53.33,F,33
cam1005,46,F,37
cam1005,61.67,M,38
cam1005,33.67,F,39
cam1005,46.33,M,35
cam1005,54.33,M,46
cam1005,39.67,F,47
cam1005,57.33,M,48
cam1005,38.67,M,49
cam1005,42.67,F,50
